"Estacion","Fecha inicial","Fecha final","O3"
"BASE AÉREA","2023-05-15 04:00","2023-05-15 04:59","0.7961"
"BASE AÉREA","2023-05-15 03:00","2023-05-15 03:59","0.0233"
"BASE AÉREA","2023-05-15 02:00","2023-05-15 02:59","0.0903"
"BASE AÉREA","2023-05-15 01:00","2023-05-15 01:59","0.1458"
"BASE AÉREA","2023-05-15 00:00","2023-05-15 00:59","0.2958"
"BASE AÉREA","2023-05-14 23:00","2023-05-14 23:59","0.4508"
"BASE AÉREA","2023-05-14 22:00","2023-05-14 22:59","0.6978"
"BASE AÉREA","2023-05-14 21:00","2023-05-14 21:59","0.3858"
"BASE AÉREA","2023-05-14 20:00","2023-05-14 20:59","0.7878"
"BASE AÉREA","2023-05-14 19:00","2023-05-14 19:59","0.9522"
"BASE AÉREA","2023-05-14 18:00","2023-05-14 18:59","2.8042"
"BASE AÉREA","2023-05-14 17:00","2023-05-14 17:59","12.7967"
"BASE AÉREA","2023-05-14 16:00","2023-05-14 16:59","30.1075"
"BASE AÉREA","2023-05-14 15:00","2023-05-14 15:59","16.9195"
"BASE AÉREA","2023-05-14 14:00","2023-05-14 14:59","23.2447"
"BASE AÉREA","2023-05-14 13:00","2023-05-14 13:59","29.2356"
"BASE AÉREA","2023-05-14 12:00","2023-05-14 12:59","32.2914"
"BASE AÉREA","2023-05-14 11:00","2023-05-14 11:59","24.0378"
"BASE AÉREA","2023-05-14 10:00","2023-05-14 10:59","14.4933"
"BASE AÉREA","2023-05-14 09:00","2023-05-14 09:59","3.0458"
"BASE AÉREA","2023-05-14 08:00","2023-05-14 08:59","0.5444"
"BASE AÉREA","2023-05-14 07:00","2023-05-14 07:59","0.245"
"BASE AÉREA","2023-05-14 06:00","2023-05-14 06:59","0.7703"
"BASE AÉREA","2023-05-14 05:00","2023-05-14 05:59","0.67"
"BASE AÉREA","2023-05-14 04:00","2023-05-14 04:59","0.0064"
"BASE AÉREA","2023-05-14 03:00","2023-05-14 03:59","0.1153"
"BASE AÉREA","2023-05-14 00:00","2023-05-14 00:59","2.3631"
"BASE AÉREA","2023-05-13 23:00","2023-05-13 23:59","1.9431"
"BASE AÉREA","2023-05-13 22:00","2023-05-13 22:59","9.0983"
"BASE AÉREA","2023-05-13 21:00","2023-05-13 21:59","10.0061"
"BASE AÉREA","2023-05-13 20:00","2023-05-13 20:59","3.5875"
"BASE AÉREA","2023-05-13 19:00","2023-05-13 19:59","3.4197"
"BASE AÉREA","2023-05-13 18:00","2023-05-13 18:59","12.5631"
"BASE AÉREA","2023-05-13 17:00","2023-05-13 17:59","18.0233"
"BASE AÉREA","2023-05-13 16:00","2023-05-13 16:59","39.7611"
"BASE AÉREA","2023-05-13 15:00","2023-05-13 15:59","51.8814"
"BASE AÉREA","2023-05-13 14:00","2023-05-13 14:59","36.732"
"BASE AÉREA","2023-05-13 13:00","2023-05-13 13:59","52.4339"
"BASE AÉREA","2023-05-13 12:00","2023-05-13 12:59","46.7267"
"BASE AÉREA","2023-05-13 11:00","2023-05-13 11:59","50.2872"
"BASE AÉREA","2023-05-13 10:00","2023-05-13 10:59","26.4869"
"BASE AÉREA","2023-05-13 09:00","2023-05-13 09:59","15.4889"
"BASE AÉREA","2023-05-13 08:00","2023-05-13 08:59","2.2939"
"BASE AÉREA","2023-05-13 07:00","2023-05-13 07:59","1.2258"
"BASE AÉREA","2023-05-13 06:00","2023-05-13 06:59","0.4844"
"BASE AÉREA","2023-05-13 05:00","2023-05-13 05:59","0.2272"
"BASE AÉREA","2023-05-13 04:00","2023-05-13 04:59","0.1058"
"BASE AÉREA","2023-05-13 03:00","2023-05-13 03:59","0.1514"
"BASE AÉREA","2023-05-13 02:00","2023-05-13 02:59","0.2008"
"BASE AÉREA","2023-05-13 01:00","2023-05-13 01:59","0.7308"
"BASE AÉREA","2023-05-13 00:00","2023-05-13 00:59","0.5989"
"BASE AÉREA","2023-05-12 23:00","2023-05-12 23:59","1.2411"
"BASE AÉREA","2023-05-12 22:00","2023-05-12 22:59","2.1956"
"BASE AÉREA","2023-05-12 21:00","2023-05-12 21:59","0.6211"
"BASE AÉREA","2023-05-12 20:00","2023-05-12 20:59","2.5722"
"BASE AÉREA","2023-05-12 19:00","2023-05-12 19:59","3.8825"
"BASE AÉREA","2023-05-12 18:00","2023-05-12 18:59","3.0528"
"BASE AÉREA","2023-05-12 17:00","2023-05-12 17:59","10.4667"
"BASE AÉREA","2023-05-12 16:00","2023-05-12 16:59","38.9056"
"BASE AÉREA","2023-05-12 15:00","2023-05-12 15:59","41.8097"
"BASE AÉREA","2023-05-12 14:00","2023-05-12 14:59","47.7272"
"BASE AÉREA","2023-05-12 13:00","2023-05-12 13:59","54.2803"
"BASE AÉREA","2023-05-12 12:00","2023-05-12 12:59","51.502"
"BASE AÉREA","2023-05-12 11:00","2023-05-12 11:59","32.0828"
"BASE AÉREA","2023-05-12 10:00","2023-05-12 10:59","20.1597"
"BASE AÉREA","2023-05-12 09:00","2023-05-12 09:59","14.2444"
"BASE AÉREA","2023-05-12 08:00","2023-05-12 08:59","2.4844"
"BASE AÉREA","2023-05-12 07:00","2023-05-12 07:59","0.6136"
"BASE AÉREA","2023-05-12 06:00","2023-05-12 06:59","0.8308"
"BASE AÉREA","2023-05-12 04:00","2023-05-12 04:59","0.5256"
"BASE AÉREA","2023-05-12 03:00","2023-05-12 03:59","0.2533"
"BASE AÉREA","2023-05-12 02:00","2023-05-12 02:59","0.4822"
"BASE AÉREA","2023-05-12 01:00","2023-05-12 01:59","0.9864"
"BASE AÉREA","2023-05-12 00:00","2023-05-12 00:59","1.2247"
"BASE AÉREA","2023-05-11 23:00","2023-05-11 23:59","2.0803"
"BASE AÉREA","2023-05-11 22:00","2023-05-11 22:59","5.8539"
"BASE AÉREA","2023-05-11 21:00","2023-05-11 21:59","11.0561"
"BASE AÉREA","2023-05-11 20:00","2023-05-11 20:59","10.0528"
"BASE AÉREA","2023-05-11 19:00","2023-05-11 19:59","5.5186"
"BASE AÉREA","2023-05-11 18:00","2023-05-11 18:59","3.3875"
"BASE AÉREA","2023-05-11 17:00","2023-05-11 17:59","5.8311"
"BASE AÉREA","2023-05-11 16:00","2023-05-11 16:59","9.9444"
"BASE AÉREA","2023-05-11 15:00","2023-05-11 15:59","11.3917"
"BASE AÉREA","2023-05-11 14:00","2023-05-11 14:59","16.0733"
"BASE AÉREA","2023-05-11 13:00","2023-05-11 13:59","26.1672"
"BASE AÉREA","2023-05-11 12:00","2023-05-11 12:59","20.7828"
"BASE AÉREA","2023-05-11 11:00","2023-05-11 11:59","18.6997"
"BASE AÉREA","2023-05-11 10:00","2023-05-11 10:59","7.9525"
"BASE AÉREA","2023-05-11 09:00","2023-05-11 09:59","3.6128"
"BASE AÉREA","2023-05-11 08:00","2023-05-11 08:59","0.5406"
"BASE AÉREA","2023-05-11 06:00","2023-05-11 06:59","0.4253"
"BASE AÉREA","2023-05-11 05:00","2023-05-11 05:59","0.2156"
"BASE AÉREA","2023-05-10 22:00","2023-05-10 22:59","0.1447"
"BASE AÉREA","2023-05-10 21:00","2023-05-10 21:59","0.1964"
"BASE AÉREA","2023-05-10 20:00","2023-05-10 20:59","0.0317"
"BASE AÉREA","2023-05-10 19:00","2023-05-10 19:59","0.0864"
"BASE AÉREA","2023-05-10 18:00","2023-05-10 18:59","0.3864"
"BASE AÉREA","2023-05-10 17:00","2023-05-10 17:59","1.8722"
"BASE AÉREA","2023-05-10 16:00","2023-05-10 16:59","1.1719"
"BASE AÉREA","2023-05-10 15:00","2023-05-10 15:59","3.5042"
"BASE AÉREA","2023-05-10 14:00","2023-05-10 14:59","7.3333"
"BASE AÉREA","2023-05-10 13:00","2023-05-10 13:59","10.1733"
"BASE AÉREA","2023-05-10 12:00","2023-05-10 12:59","10.5175"
"BASE AÉREA","2023-05-10 11:00","2023-05-10 11:59","7.4775"
"BASE AÉREA","2023-05-10 10:00","2023-05-10 10:59","3.5325"
"BASE AÉREA","2023-05-10 09:00","2023-05-10 09:59","0.6672"
"BASE AÉREA","2023-05-10 08:00","2023-05-10 08:59","0.3833"
"BASE AÉREA","2023-05-10 07:00","2023-05-10 07:59","0.4308"
"BASE AÉREA","2023-05-10 06:00","2023-05-10 06:59","0.2053"
"BASE AÉREA","2023-05-10 05:00","2023-05-10 05:59","0.0506"
"BASE AÉREA","2023-05-10 03:00","2023-05-10 03:59","0.2544"
"BASE AÉREA","2023-05-10 02:00","2023-05-10 02:59","1.1094"
"BASE AÉREA","2023-05-10 01:00","2023-05-10 01:59","2.4956"
"BASE AÉREA","2023-05-10 00:00","2023-05-10 00:59","2.6297"
"BASE AÉREA","2023-05-09 23:00","2023-05-09 23:59","0.5611"
"BASE AÉREA","2023-05-09 22:00","2023-05-09 22:59","2.5836"
"BASE AÉREA","2023-05-09 21:00","2023-05-09 21:59","0.5811"
"BASE AÉREA","2023-05-09 20:00","2023-05-09 20:59","2.1253"
"BASE AÉREA","2023-05-09 19:00","2023-05-09 19:59","6.6217"
"BASE AÉREA","2023-05-09 18:00","2023-05-09 18:59","11.2914"
"BASE AÉREA","2023-05-09 17:00","2023-05-09 17:59","10.2808"
"BASE AÉREA","2023-05-09 16:00","2023-05-09 16:59","11.4797"
"BASE AÉREA","2023-05-09 15:00","2023-05-09 15:59","16.7736"
"BASE AÉREA","2023-05-09 14:00","2023-05-09 14:59","20.8392"
"BASE AÉREA","2023-05-09 13:00","2023-05-09 13:59","33.3697"
"BASE AÉREA","2023-05-09 12:00","2023-05-09 12:59","29.6919"
"BASE AÉREA","2023-05-09 11:00","2023-05-09 11:59","28.5942"
"BASE AÉREA","2023-05-09 10:00","2023-05-09 10:59","24.2058"
"BASE AÉREA","2023-05-09 09:00","2023-05-09 09:59","14.7475"
"BASE AÉREA","2023-05-09 08:00","2023-05-09 08:59","10.3317"
"BASE AÉREA","2023-05-09 07:00","2023-05-09 07:59","2.3386"
"BASE AÉREA","2023-05-09 06:00","2023-05-09 06:59","0.3317"
"BASE AÉREA","2023-05-09 05:00","2023-05-09 05:59","0.2694"
"BASE AÉREA","2023-05-09 03:00","2023-05-09 03:59","0.0264"
"BASE AÉREA","2023-05-09 02:00","2023-05-09 02:59","1.1508"
"BASE AÉREA","2023-05-09 01:00","2023-05-09 01:59","1.99"
"BASE AÉREA","2023-05-09 00:00","2023-05-09 00:59","0.0583"
"BASE AÉREA","2023-05-08 22:00","2023-05-08 22:59","0.6825"
"BASE AÉREA","2023-05-08 21:00","2023-05-08 21:59","1.1144"
"BASE AÉREA","2023-05-08 20:00","2023-05-08 20:59","1.1058"
"BASE AÉREA","2023-05-08 19:00","2023-05-08 19:59","3.1628"
"BASE AÉREA","2023-05-08 18:00","2023-05-08 18:59","3.0325"
"BASE AÉREA","2023-05-08 17:00","2023-05-08 17:59","12.0456"
"BASE AÉREA","2023-05-08 16:00","2023-05-08 16:59","14.8292"
"BASE AÉREA","2023-05-08 15:00","2023-05-08 15:59","14.0653"
"BASE AÉREA","2023-05-08 14:00","2023-05-08 14:59","15.6564"
"BASE AÉREA","2023-05-08 13:00","2023-05-08 13:59","30.8878"
"BASE AÉREA","2023-05-08 12:00","2023-05-08 12:59","37.895"
"BASE AÉREA","2023-05-08 11:00","2023-05-08 11:59","27.4772"
"BASE AÉREA","2023-05-08 10:00","2023-05-08 10:59","19.5225"
"BASE AÉREA","2023-05-08 09:00","2023-05-08 09:59","13.1053"
"BASE AÉREA","2023-05-08 08:00","2023-05-08 08:59","6.35"
"BASE AÉREA","2023-05-08 07:00","2023-05-08 07:59","1.2117"
"BASE AÉREA","2023-05-08 06:00","2023-05-08 06:59","0.6142"
"BASE AÉREA","2023-05-08 05:00","2023-05-08 05:59","0.2953"
"BASE AÉREA","2023-05-08 04:00","2023-05-08 04:59","0.2972"
"BASE AÉREA","2023-05-08 03:00","2023-05-08 03:59","4.1631"
"BASE AÉREA","2023-05-08 01:00","2023-05-08 01:59","0.4272"
"BASE AÉREA","2023-05-08 00:00","2023-05-08 00:59","0.8461"
"BASE AÉREA","2023-05-07 23:00","2023-05-07 23:59","0.4556"
"BASE AÉREA","2023-05-07 22:00","2023-05-07 22:59","0.4489"
"BASE AÉREA","2023-05-07 21:00","2023-05-07 21:59","3.9539"
"BASE AÉREA","2023-05-07 20:00","2023-05-07 20:59","1.7267"
"BASE AÉREA","2023-05-07 19:00","2023-05-07 19:59","3.7369"
"BASE AÉREA","2023-05-07 18:00","2023-05-07 18:59","14.0608"
"BASE AÉREA","2023-05-07 17:00","2023-05-07 17:59","17.5036"
"BASE AÉREA","2023-05-07 16:00","2023-05-07 16:59","20.9053"
"BASE AÉREA","2023-05-07 15:00","2023-05-07 15:59","28.7931"
"BASE AÉREA","2023-05-07 14:00","2023-05-07 14:59","46.8106"
"BASE AÉREA","2023-05-07 13:00","2023-05-07 13:59","40.5"
"BASE AÉREA","2023-05-07 12:00","2023-05-07 12:59","38.5319"
"BASE AÉREA","2023-05-07 11:00","2023-05-07 11:59","34.2439"
"BASE AÉREA","2023-05-07 10:00","2023-05-07 10:59","30.0097"
"BASE AÉREA","2023-05-07 09:00","2023-05-07 09:59","16.6522"
"BASE AÉREA","2023-05-07 08:00","2023-05-07 08:59","5.2456"
"BASE AÉREA","2023-05-07 07:00","2023-05-07 07:59","0.7733"
"BASE AÉREA","2023-05-07 06:00","2023-05-07 06:59","0.0828"
"BASE AÉREA","2023-05-07 05:00","2023-05-07 05:59","0.4942"
"BASE AÉREA","2023-05-07 03:00","2023-05-07 03:59","0.3811"
"BASE AÉREA","2023-05-07 02:00","2023-05-07 02:59","0.6639"
"BASE AÉREA","2023-05-07 00:00","2023-05-07 00:59","0.205"
"BASE AÉREA","2023-05-06 23:00","2023-05-06 23:59","0.2325"
"BASE AÉREA","2023-05-06 22:00","2023-05-06 22:59","0.3461"
"BASE AÉREA","2023-05-06 21:00","2023-05-06 21:59","1.8653"
"BASE AÉREA","2023-05-06 20:00","2023-05-06 20:59","5.1717"
"BASE AÉREA","2023-05-06 19:00","2023-05-06 19:59","10.7886"
"BASE AÉREA","2023-05-06 18:00","2023-05-06 18:59","10.9728"
"BASE AÉREA","2023-05-06 17:00","2023-05-06 17:59","12.695"
"BASE AÉREA","2023-05-06 16:00","2023-05-06 16:59","9.3267"
"BASE AÉREA","2023-05-06 15:00","2023-05-06 15:59","11.7747"
"BASE AÉREA","2023-05-06 14:00","2023-05-06 14:59","11.6239"
"BASE AÉREA","2023-05-06 13:00","2023-05-06 13:59","11.4261"
"BASE AÉREA","2023-05-06 12:00","2023-05-06 12:59","22.8197"
"BASE AÉREA","2023-05-06 11:00","2023-05-06 11:59","29.3211"
"BASE AÉREA","2023-05-06 10:00","2023-05-06 10:59","16.8589"
"BASE AÉREA","2023-05-06 09:00","2023-05-06 09:59","12.6917"
"BASE AÉREA","2023-05-06 08:00","2023-05-06 08:59","2.3003"
"BASE AÉREA","2023-05-06 07:00","2023-05-06 07:59","0.5897"
"BASE AÉREA","2023-05-06 06:00","2023-05-06 06:59","0.4817"
"BASE AÉREA","2023-05-06 05:00","2023-05-06 05:59","0.0486"
"BASE AÉREA","2023-05-06 03:00","2023-05-06 03:59","0.0892"
"BASE AÉREA","2023-05-06 02:00","2023-05-06 02:59","1.175"
"BASE AÉREA","2023-05-06 01:00","2023-05-06 01:59","0.8169"
"BASE AÉREA","2023-05-06 00:00","2023-05-06 00:59","0.3128"
"BASE AÉREA","2023-05-05 23:00","2023-05-05 23:59","0.1167"
"BASE AÉREA","2023-05-05 22:00","2023-05-05 22:59","0.1381"
"BASE AÉREA","2023-05-05 21:00","2023-05-05 21:59","0.8092"
"BASE AÉREA","2023-05-05 20:00","2023-05-05 20:59","0.7544"
"BASE AÉREA","2023-05-05 19:00","2023-05-05 19:59","3.6581"
"BASE AÉREA","2023-05-05 18:00","2023-05-05 18:59","6.3967"
"BASE AÉREA","2023-05-05 17:00","2023-05-05 17:59","11.1678"
"BASE AÉREA","2023-05-05 16:00","2023-05-05 16:59","28.1861"
"BASE AÉREA","2023-05-05 15:00","2023-05-05 15:59","36.8539"
"BASE AÉREA","2023-05-05 14:00","2023-05-05 14:59","16.4597"
"BASE AÉREA","2023-05-05 13:00","2023-05-05 13:59","21.7289"
"BASE AÉREA","2023-05-05 12:00","2023-05-05 12:59","29.8983"
"BASE AÉREA","2023-05-05 11:00","2023-05-05 11:59","27.9386"
"BASE AÉREA","2023-05-05 10:00","2023-05-05 10:59","24.4433"
"BASE AÉREA","2023-05-05 09:00","2023-05-05 09:59","11.9256"
"BASE AÉREA","2023-05-05 08:00","2023-05-05 08:59","3.8636"
"BASE AÉREA","2023-05-05 07:00","2023-05-05 07:59","0.8875"
"BASE AÉREA","2023-05-05 06:00","2023-05-05 06:59","0.3281"
"BASE AÉREA","2023-05-05 05:00","2023-05-05 05:59","0.2172"
"BASE AÉREA","2023-05-05 03:00","2023-05-05 03:59","0.5778"
"BASE AÉREA","2023-05-05 02:00","2023-05-05 02:59","3.4819"
"BASE AÉREA","2023-05-05 01:00","2023-05-05 01:59","4.6694"
"BASE AÉREA","2023-05-05 00:00","2023-05-05 00:59","0.6322"
"BASE AÉREA","2023-05-04 23:00","2023-05-04 23:59","0.3697"
"BASE AÉREA","2023-05-04 22:00","2023-05-04 22:59","0.5364"
"BASE AÉREA","2023-05-04 21:00","2023-05-04 21:59","4.8"
"BASE AÉREA","2023-05-04 20:00","2023-05-04 20:59","1.7917"
"BASE AÉREA","2023-05-04 19:00","2023-05-04 19:59","5.5656"
"BASE AÉREA","2023-05-04 18:00","2023-05-04 18:59","12.9853"
"BASE AÉREA","2023-05-04 17:00","2023-05-04 17:59","19.5072"
"BASE AÉREA","2023-05-04 16:00","2023-05-04 16:59","31.5669"
"BASE AÉREA","2023-05-04 15:00","2023-05-04 15:59","28.585"
"BASE AÉREA","2023-05-04 14:00","2023-05-04 14:59","32.3617"
"BASE AÉREA","2023-05-04 13:00","2023-05-04 13:59","34.3964"
"BASE AÉREA","2023-05-04 12:00","2023-05-04 12:59","31.607"
"BASE AÉREA","2023-05-04 11:00","2023-05-04 11:59","35.4847"
"BASE AÉREA","2023-05-04 10:00","2023-05-04 10:59","31.21"
"BASE AÉREA","2023-05-04 09:00","2023-05-04 09:59","16.5069"
"BASE AÉREA","2023-05-04 08:00","2023-05-04 08:59","11.7581"
"BASE AÉREA","2023-05-04 07:00","2023-05-04 07:59","2.1653"
"BASE AÉREA","2023-05-04 06:00","2023-05-04 06:59","0.2664"
"BASE AÉREA","2023-05-04 05:00","2023-05-04 05:59","0.0606"
"BASE AÉREA","2023-05-04 04:00","2023-05-04 04:59","0.1156"
"BASE AÉREA","2023-05-04 02:00","2023-05-04 02:59","0.5111"
"BASE AÉREA","2023-05-04 01:00","2023-05-04 01:59","0.5561"
"BASE AÉREA","2023-05-04 00:00","2023-05-04 00:59","2.7569"
"BASE AÉREA","2023-05-03 23:00","2023-05-03 23:59","0.7461"
"BASE AÉREA","2023-05-03 22:00","2023-05-03 22:59","4.0178"
"BASE AÉREA","2023-05-03 21:00","2023-05-03 21:59","2.2178"
"BASE AÉREA","2023-05-03 20:00","2023-05-03 20:59","0.5578"
"BASE AÉREA","2023-05-03 19:00","2023-05-03 19:59","2.7717"
"BASE AÉREA","2023-05-03 18:00","2023-05-03 18:59","9.3181"
"BASE AÉREA","2023-05-03 17:00","2023-05-03 17:59","14.3764"
"BASE AÉREA","2023-05-03 16:00","2023-05-03 16:59","20.5564"
"BASE AÉREA","2023-05-03 15:00","2023-05-03 15:59","24.1056"
"BASE AÉREA","2023-05-03 14:00","2023-05-03 14:59","38.5511"
"BASE AÉREA","2023-05-03 13:00","2023-05-03 13:59","36.0645"
"BASE AÉREA","2023-05-03 12:00","2023-05-03 12:59","38.4856"
"BASE AÉREA","2023-05-03 11:00","2023-05-03 11:59","30.0006"
"BASE AÉREA","2023-05-03 10:00","2023-05-03 10:59","22.2758"
"BASE AÉREA","2023-05-03 09:00","2023-05-03 09:59","12.0106"
"BASE AÉREA","2023-05-03 08:00","2023-05-03 08:59","3.9547"
"BASE AÉREA","2023-05-03 07:00","2023-05-03 07:59","0.8886"
"BASE AÉREA","2023-05-03 06:00","2023-05-03 06:59","0.5764"
"BASE AÉREA","2023-05-03 05:00","2023-05-03 05:59","0.6025"
"BASE AÉREA","2023-05-03 04:00","2023-05-03 04:59","0.2575"
"BASE AÉREA","2023-05-03 03:00","2023-05-03 03:59","0.6819"
"BASE AÉREA","2023-05-03 02:00","2023-05-03 02:59","1.0128"
"BASE AÉREA","2023-05-03 01:00","2023-05-03 01:59","0.1969"
"BASE AÉREA","2023-05-03 00:00","2023-05-03 00:59","0.3881"
"BASE AÉREA","2023-05-02 23:00","2023-05-02 23:59","6.5578"
"BASE AÉREA","2023-05-02 22:00","2023-05-02 22:59","3.2461"
"BASE AÉREA","2023-05-02 21:00","2023-05-02 21:59","1.1208"
"BASE AÉREA","2023-05-02 20:00","2023-05-02 20:59","8.4944"
"BASE AÉREA","2023-05-02 19:00","2023-05-02 19:59","13.3078"
"BASE AÉREA","2023-05-02 18:00","2023-05-02 18:59","13.1333"
"BASE AÉREA","2023-05-02 17:00","2023-05-02 17:59","16.1"
"BASE AÉREA","2023-05-02 16:00","2023-05-02 16:59","13.8686"
"BASE AÉREA","2023-05-02 15:00","2023-05-02 15:59","28.7086"
"BASE AÉREA","2023-05-02 14:00","2023-05-02 14:59","43.9919"
"BASE AÉREA","2023-05-02 13:00","2023-05-02 13:59","32.7197"
"BASE AÉREA","2023-05-02 12:00","2023-05-02 12:59","28.9472"
"BASE AÉREA","2023-05-02 11:00","2023-05-02 11:59","19.0844"
"BASE AÉREA","2023-05-02 10:00","2023-05-02 10:59","19.2025"
"BASE AÉREA","2023-05-02 09:00","2023-05-02 09:59","15.0603"
"BASE AÉREA","2023-05-02 08:00","2023-05-02 08:59","2.3472"
"BASE AÉREA","2023-05-02 07:00","2023-05-02 07:59","0.6494"
"BASE AÉREA","2023-05-02 06:00","2023-05-02 06:59","0.3511"
"BASE AÉREA","2023-05-02 05:00","2023-05-02 05:59","0.1883"
"BASE AÉREA","2023-05-02 03:00","2023-05-02 03:59","0.1764"
"BASE AÉREA","2023-05-02 02:00","2023-05-02 02:59","0.2306"
"BASE AÉREA","2023-05-02 01:00","2023-05-02 01:59","1.1967"
"BASE AÉREA","2023-05-02 00:00","2023-05-02 00:59","2.3922"
"BASE AÉREA","2023-05-01 23:00","2023-05-01 23:59","0.0922"
"BASE AÉREA","2023-05-01 22:00","2023-05-01 22:59","0.1653"
"BASE AÉREA","2023-05-01 21:00","2023-05-01 21:59","1.6575"
"BASE AÉREA","2023-05-01 20:00","2023-05-01 20:59","5.3297"
"BASE AÉREA","2023-05-01 19:00","2023-05-01 19:59","6.9533"
"BASE AÉREA","2023-05-01 18:00","2023-05-01 18:59","13.5742"
"BASE AÉREA","2023-05-01 17:00","2023-05-01 17:59","20.1678"
"BASE AÉREA","2023-05-01 16:00","2023-05-01 16:59","26.9789"
"BASE AÉREA","2023-05-01 15:00","2023-05-01 15:59","20.1528"
"BASE AÉREA","2023-05-01 14:00","2023-05-01 14:59","24.0842"
"BASE AÉREA","2023-05-01 13:00","2023-05-01 13:59","29.0014"
"BASE AÉREA","2023-05-01 12:00","2023-05-01 12:59","25.125"
"BASE AÉREA","2023-05-01 11:00","2023-05-01 11:59","25.4753"
"BASE AÉREA","2023-05-01 10:00","2023-05-01 10:59","21.8714"
"BASE AÉREA","2023-05-01 09:00","2023-05-01 09:59","14.3969"
"BASE AÉREA","2023-05-01 08:00","2023-05-01 08:59","11.2497"
"BASE AÉREA","2023-05-01 07:00","2023-05-01 07:59","2.5214"
"BASE AÉREA","2023-05-01 06:00","2023-05-01 06:59","0.0372"
"BASE AÉREA","2023-05-01 04:00","2023-05-01 04:59","0.0053"
"BASE AÉREA","2023-05-01 03:00","2023-05-01 03:59","0.2614"
"BASE AÉREA","2023-05-01 02:00","2023-05-01 02:59","0.4528"
"BASE AÉREA","2023-05-01 01:00","2023-05-01 01:59","0.0622"
"BASE AÉREA","2023-05-01 00:00","2023-05-01 00:59","0.0153"
"BASE AÉREA","2023-04-30 23:00","2023-04-30 23:59","0.0319"
"BASE AÉREA","2023-04-30 22:00","2023-04-30 22:59","0.4267"
"BASE AÉREA","2023-04-30 21:00","2023-04-30 21:59","0.4308"
"BASE AÉREA","2023-04-30 20:00","2023-04-30 20:59","1.1233"
"BASE AÉREA","2023-04-30 19:00","2023-04-30 19:59","2.0914"
"BASE AÉREA","2023-04-30 18:00","2023-04-30 18:59","5.4739"
"BASE AÉREA","2023-04-30 17:00","2023-04-30 17:59","9.7289"
"BASE AÉREA","2023-04-30 16:00","2023-04-30 16:59","14.7925"
"BASE AÉREA","2023-04-30 15:00","2023-04-30 15:59","17.4133"
"BASE AÉREA","2023-04-30 14:00","2023-04-30 14:59","29.2553"
"BASE AÉREA","2023-04-30 13:00","2023-04-30 13:59","38.0995"
"BASE AÉREA","2023-04-30 12:00","2023-04-30 12:59","35.3058"
"BASE AÉREA","2023-04-30 11:00","2023-04-30 11:59","19.3436"
"BASE AÉREA","2023-04-30 10:00","2023-04-30 10:59","9.6472"
"BASE AÉREA","2023-04-30 09:00","2023-04-30 09:59","6.325"
"BASE AÉREA","2023-04-30 08:00","2023-04-30 08:59","3.0294"
"BASE AÉREA","2023-04-30 07:00","2023-04-30 07:59","1.1047"
"BASE AÉREA","2023-04-30 03:00","2023-04-30 03:59","0.0469"
"BASE AÉREA","2023-04-30 02:00","2023-04-30 02:59","0.0419"
"BASE AÉREA","2023-04-30 01:00","2023-04-30 01:59","0.33"
"BASE AÉREA","2023-04-30 00:00","2023-04-30 00:59","0.2008"
"BASE AÉREA","2023-04-29 23:00","2023-04-29 23:59","0.1167"
"BASE AÉREA","2023-04-29 22:00","2023-04-29 22:59","0.2"
"BASE AÉREA","2023-04-29 21:00","2023-04-29 21:59","0.6408"
"BASE AÉREA","2023-04-29 20:00","2023-04-29 20:59","2.47"
"BASE AÉREA","2023-04-29 19:00","2023-04-29 19:59","1.9592"
"BASE AÉREA","2023-04-29 18:00","2023-04-29 18:59","4.0444"
"BASE AÉREA","2023-04-29 17:00","2023-04-29 17:59","5.2186"
"BASE AÉREA","2023-04-29 16:00","2023-04-29 16:59","7.7417"
"BASE AÉREA","2023-04-29 15:00","2023-04-29 15:59","16.5928"
"BASE AÉREA","2023-04-29 14:00","2023-04-29 14:59","32.6458"
"BASE AÉREA","2023-04-29 13:00","2023-04-29 13:59","17.0628"
"BASE AÉREA","2023-04-29 12:00","2023-04-29 12:59","14.2364"
"BASE AÉREA","2023-04-29 11:00","2023-04-29 11:59","14.9331"
"BASE AÉREA","2023-04-29 10:00","2023-04-29 10:59","13.7861"
"BASE AÉREA","2023-04-29 09:00","2023-04-29 09:59","12.3536"
"BASE AÉREA","2023-04-29 08:00","2023-04-29 08:59","4.2078"
"BASE AÉREA","2023-04-29 07:00","2023-04-29 07:59","0.2247"
"BASE AÉREA","2023-04-29 06:00","2023-04-29 06:59","0.2539"
"BASE AÉREA","2023-04-29 04:00","2023-04-29 04:59","0.0856"
"BASE AÉREA","2023-04-29 03:00","2023-04-29 03:59","1.3542"
"BASE AÉREA","2023-04-29 02:00","2023-04-29 02:59","0.2733"
"BASE AÉREA","2023-04-29 01:00","2023-04-29 01:59","0.1019"
"BASE AÉREA","2023-04-29 00:00","2023-04-29 00:59","0.6303"
"BASE AÉREA","2023-04-28 23:00","2023-04-28 23:59","3.8908"
"BASE AÉREA","2023-04-28 22:00","2023-04-28 22:59","0.8328"
"BASE AÉREA","2023-04-28 21:00","2023-04-28 21:59","1.2197"
"BASE AÉREA","2023-04-28 20:00","2023-04-28 20:59","4.6189"
